tag,sentence
Res,From the two tables above it can be seen that the subscriber coefficient is .3172.
Struct,(2) We will now explore the relationship between our predictors and our response.
Lim,"First of all, we do not know, from this data or analysis, whether or not pollutants are just a confounding variable."
Context,The idea of immortality is something that has long been captivating idea for humans.
Struct,The table above shows the result from the cross validation.
Context,"Soccer is the most popular sport in the world, with an impressive 4 billion fans, almost twice as much as the second most popular sport, Cricket (as reported by World Atlas, Oct 16, 2020: https://www.worldatlas.com/articles/what-are-the-most-popular-sports-in-the-world.html)."
MethDef,Our null and alternative hypotheses are.
MethJust,"Because we only know the temperature on the day is 70 F, which is not a lagged value, we used model A to make the prediction."
Lim,(More data is needed in order to completely prove or disprove this point.).
Data,This data contains the information of all 595 players who appeared in the 2010 World Cup games before the final.
Context,A prime example of this is dating sites.
Context,"With the advent of platforms like OkCupid and Tinder, a person seeking a romantic partner no longer needs to frequently spend time at bars or ask friends to set up blind dates."
MethDef,Alternate Hypothesis (HA): At Least one Mean not Equal.
Lim,"Also, the size of the dataset is relatively small."
Int,"Furthermore, it makes sense that effects of pollutants over time is better estimate for death compared to single-day pollutant data."
Int,There is sufficient evidence to conclude that there is an association between sex and relationship status of users.
Lim,"For this study, we would have appreciated data being collected from more sources (to avoid bias from one sample station), data from several forests around the globe, and for data to have been collected from a longer period of time."
MethJust,"Although model B works better, but we think model A should be more appropriate to accurately address Jorgensen's request."
Lim,This indicates a possible violation of the constant variance assumption.
MethDef,Alternate Hypothesis (HA): At Least one Mean not Equal.
MethDef,"In order to answer this question, we created Figure 9, where we plotted the points of log(Maximum.longevity.yrs) vs log(Metabolic.by.mass) and then fit our chosen model (smoothing spline with degrees of freedom = 5)."
MethJust,"The normality plots and the boxplots (not shown) show us fewer outliers and better alignment, so the transformations were successful."
Data,"Although our explanatory variables seem to be related to $Class$, $Class$ does not seem to be related to the response variable."
Int,"(We could assume that because a more significant number of people listen to music every day, compared to the number of people who play video games, this dispute could make sense.)."
Res,"Throughout the report below, we did find significance between certain models but none of them allowed us to confidently conclude that the pollutants were significantly correlated with number of deaths."
Data,"Given in-depth information from the data file 'chicago.csv', which contains data of 5114 observations of Chicago's air quality through 6 relevant variables: time (date of observation), death (number of non-accidental deaths on that date), pm10median (median density of $PM_{10}$ pollution), o3median (median concentration of ozone, parts per billion), so2median (median concentration of sulfur dioxide), and tmpd (mean temperature, Farenheit)"
Context,"Biological researchers around the world have devoted countless hours to better understanding what factors effect lifespan, and furthur how we can influence those factors to slow the aging process and prolong life."
MethJust,Females: (385)(0.091) = 35 ≥ 10 (385)(1- 0.091) = 345 ≥ 10.
Lim,"Our data only contains data on 3 kinds of pollutants, which means our model does not capture the effect of other pollutants on mortality (3)"
Data,"This indicates that they are not normally distributed, despite both PM10 and sulfur dioxide both being unimodal."
Data,"(1) As can be seen in figure 1, the metabolic rate for most species is roughly the same, with only a few outliers."
Lim,"As such, the model does not appear to fit very well."
Res,Further testing with cross-validation with 5 fold revealed that the model with lagged variables perform better than the model with original variable based on MSE
MethJust,The difference doesnt seem significant as the difference in estimated MSE of prediction error values are within 1 standard error of each other for all 5 spline models (5).
Struct,"First, let's take a look at some univariate EDA, or boxplots of our key variables."
RQDef,Our next research question is to look into whether mean playtime of players is associated with the position of the player.
Struct,"Below in Figure 3, we see residuals plots and a qq-plot of the residuals."
Context,"Research has shown that on average, men tend to drink and smoke more, and use more drugs."
MethJust,"However, the large majority of residuals look normal enough that we can still proceed."
RQDef,"Having proved that our model fits better than the null model, we also want to assess whether pollution is an important factor in our final model."
Data,"As seen above, we also have plotted log of death over time, and this might help us identify possible outliers of specific events or dates that could affect or bias our model later on, and in our case, we see three dates, 1995-07-14, 1995-07-15, and 1995-07-16 showing signs of outlying data."
Context,This work may help adults and adolescents who want to share a passion they have with the world but don’t know the necessary knowledge to see if they can bring in a large following.
Int,"Additionally, our model indicated that the relationship between metabolic rate and lifespan is nonlinear."
RQJust,"From the histogram above, we can see that the majority of the players take 3 or fewer shots, and we can test the following."
MethDef,We first constructed a linear model to fit to the data (1).
MethDef,"Additionally, we can use a hypothesis test for different means."
RQJust,"The decreased variation in these lag-variables indicate that they may be better for modeling than their original counterparts, and they also show clearer relationships (or lack there of) with our desired response, log-deaths."
Res,"However, we see in figure 5 that the SE of $SO_2$'s effect seems to be very large, which may indicate that $SO_2$ may not be a significant predictor of mortality."
MethDef,"In Table 1 shown above, we calculated the Mean and the Median values for subscriber count of each of the 9 categories that we are studying."
Data,There are 6 missing datapoints.
Data,"Education is a categorical variable that assesses the education level of the OkCupid user, with twenty-eight options to summarize their educational experience."
Int,Thus we can conclude that there is evidence that that the three pollutants are statistically significantly associated with increased mortality.
Res,"We noticed that the two confidence intervals are different, where the one obtained from bootstrapping is wider."
MethDef,"To allow comparions between animals of different sizes, we create a new variable 'Metabolic.by.mass', the amount of energy used per unit of body mass by dividing 'Metabolic.rate' by 'Body.mass.g', in Watts per gram."
Res,"By bootstrapping, we conclude that a 95% pivotal CI for $death.log$ in a setting described above is [4.632680, 4.721169] (6)"
Data,The data used in this project comes from a website titled ScienceForums.Net (SFN).
MethJust,"However, based on the uncertainty in your estimates of the prediction error, the difference between models does not seem very significant (for the spline models only)."
Other,"To understand the structure of these relationships and how they influence our results, we will need to rely most heavily on their contributions and interactions in our potential models."
Res,The Chi-squared test returns an X-squared value of 158.35 and a p-value < 2.2e-16 < 0.05.
MethDef,"However, for now, we can combine the people who said “sometimes” and “often” under the same group of people who are drug users, so we can move on with the ANOVA test."
Data,There also appears to be a positive nonlinear relationship between temperature and 'Metabolic.by.mass'.
Lim,There were only 517 forest fires utilized within this study.
Struct,Figure 8 shows us deaths and log of deaths over time (1987 to 2000)
Data,Looking at pm10median’s histogram we can see it is unimodal with a right skewed shape.
MethDef,"To determine the performance and how well each model fits the data, we will use 5-fold cross validation."
Context,Content creators can use this conclusion to understand what videos to make if they hope to gain high views.
Data,"Since it is a variable measuring time, it is clear that it follows the uniform distribution with the mean 0 (1)"
Lim,One limitation we must be aware of is that the data we analyzed was observational data and that we did not actively create an experiment.
Data,The data used for this report was scraped from the OkCupid site and was sampled from 1500 San Francisco users.
Data,"We can see that the median concentration of ozone pollution, or 'o3median', (parts per billion) falls between -24.779 and 43.688, with mean and median values of -2.179 and -3.326"
MethJust,"However, the relationship between $Max.lifespan$ and $Metabolic.by.mass$ does not seem to be linear, which implies the need for transformation (6)."
Res,"According to Table 2, plaintiffs that claim fraud tend to have higher total damages in average compared to other types of claim."
Data,"The number of shares received and the number of words in the title is measured by count, where the count is greater than or equal to zero."
Data,"The negative relationship between the response variable and $Metabolic.by.mass$ is further confirmed by the negative correlation coefficient between them, which is -0.385."
Int,"Logically, this makes sense since the negative effects of pollution tend to manifest after continued exposure."
Data,"We note that there are several y-axis outliers, where several users report income of $1,000,000, about 2 users that report an income of $500,000, and several report an income of a little more that $200,000."
Int,"Just taking that into consideration, since the average views for both categories are so close together, both are a safe bet for content creators trying to create videos that gain high views."
MethJust,"After the transformation, as shown in Figure 4, the relationship appears to be moderately linear."
MethJust,"Now, we see the data points are spread out which makes easier for us to find the relationship."
RQDef,"In this study, we examined the relationship between a soccer player’s position and their statistics in terms of their playtime, shots attempted, and total passes."
Struct,Below are some graphs displaying the general spread of account age in this dataset.
MethDef,"Now, we will remove the datapoints with NA in it so when we start to do transformations and models, we will have variables with all values and no NA"
Res,"However, after calculating correlation, we find that there is only a -0.076 linear correlation between RH and area."
Data,"Our sample mean is approximately 33 years, and our sample standard deviation is approximately 10 years."
Data,"Our investigation looked at three different variables of age, height, and sex and their relation to status."
Context,"Taking all of this information into account, we will make a recommendation as to whether or not you should spend your wealth in efforts to reduce pollution by that amount."
Int,"This signifies that if there is a linear correlation, it is a very weak negative linear relationship."
Data,"When Examining the death rate over time in Chicago, there were apparent outliers around 1995 shown by the Figure4 below."
Struct,One variable we mentioned in the data section but since paid very little attention to is time.
Data,The variable shots attempted is also a quantitative variable that shows the number of attempts a player shot the ball to the opposing goal.
Lim,Future studies can investigate forest fires within a more globalized range and use more diverse variables along with more summary measures.
Res,"(1) Judging by the plot of the fitted spline model with 3 effective degrees of freedom on top of the AnAge data, having lower metabolic rate does seem to predict a higher longevity on average."
Int,This is not necessarily the case for news or politic videos.
Other,"Since all three’s medians are so close, we can assume their means will be as well."
Lim,They should first try to randomly sample individuals.
Int,"Because the p-value is less than the threshold of .05, we can reject the null hypothesis and say that there exists a relationship between smoking and body type."
Int,It is only a specific few which undergo the correct conditions for a transformation into a severe blaze capable of causing significant damage.
Int,"Eventually, between RH and area, we discovered a linear relationship with slightly negative slope."
RQJust,"We can see that most samples with a SampleMDRB of 0, indicating no MDRB in the sample stool, have a diversity score of at least 2.7761, while half of samples with SampleMDRB of 1, indicating that there was MDRB in the sample stool, have a diversity score of less than 2.6055."
RQDef,We hypothesize that there is a relationship between a player’s position and their shots attempted.
Res,"From the scatterplot displayed below, there is no clear relation between the number of video uploads and the number of subscribers a channel has."
RQDef,"Because we have reason to believe the majority of users are over age 30, we will test the following hypothesis."
MethJust,"From the residuals plot, we can see that the residuals are nicely centered around 0 and spreaded evenly out without clear pattern."
Struct,"After exploring each individual variables, we want to take a look at the relationship between the two."
Data,Our research questions also includes Countries and Subscribers.
RQDef,The target audience then may be correlated to video view count which we further look into through Table 1.
Data,Income is a quantitative variable that measures a persons income in US $.
Data,Some users preferred not to indicate their drug usage.
MethDef,"Specifically, I fit five models."
MethJust,"All standard deviations are within a factor of 2, meaning they are so sufficiently close to use ANOVA."
Context,Creators are those who produce content and get paid for it.
RQJust,"In the scatterplot (below), we see that views seems to grow with posts."
Lim,"Also, it should use a dataset that measures the lifespan of every individual subject."
Res,"If the average air pollution in the past 7 days is at the minimal level (in the historical record) and the average median temperature is 70 degrees Fahrenheit, the expected mortality in Chicago will be about 107.25 people on 30 December 2000, according to our model."
MethDef,"As no assumptions are severely violated for Model 1.2 (see $Appendix$), we could directly use the p-value (which is 0.0401) returned by the regression output."
MethJust,"(2) Since we will be exploring the relationship between unit metabolic rate and lifespan, we try to plot the histograms for 'Metabolic.by.mass' and 'Maximum.longevity.yrs'."
MethDef,"To get a preliminary understanding of our data, we created a contingency table between sex and status (shown in Table 5)."
Int,"Therefore, we conclude that there is significant evidence that income varies according to one’s sex."
Res,We know this because our chosen model fits better than an instantaneous model.
Struct,"In order to use this test, several conditions must be met."
Res,"From the Bar Chart shown above, we can see that the United States does indeed hold the greatest amount of channels in all the categories, except for the Music Category: which is dominated by India."
Res,"Those in the Music and Gaming category also had a smaller standard deviation when compared to other categories, determining that it is more consistent in viewsPerVideo across accounts."
Res,We were able to estimate a general expected death toll for any particular day being 114 to about 115 people with 95% confidence.
Data,"The variable drinks is another categorical variable describing how often a user drinks (desperately, not at all, often, rarely, socially, very often)."
MethDef,"Rather, we should use a resampling of cases approach which only makes the assumption that the response (log of deaths) and predictor (lagged pollutants and temperature) variables are independent and identically distributed random variables."
MethJust,"We decided only to analyze the distribution of these three quantitative variables, because the other two quantitative variables, body.mass.g and metabolic.rate are both taken into consideration in the variable we created metabolic.by.mass."
Context,"Although immortality may be out of reach with present technologies, this has not stopped billionaire Preston Jorgensen's interest in finding ways to extend his life."
Res,"Upon running this test, we get a p-value of 0."
Data,"It also includes categorical variables including a unique ID for each animal (HAGRID), the common name, and the taxonomic classification."
Int,"However, we still expect both models to depict an inverse relationship between metabolic rates and lifespans across animals and also both models will use this log-log transformation (6)."
Res,"As we can see in Figure 6, seen below, the majority of individuals who have graduated from college/university have been male."
Data,"The same holds true for its 7 day average variable, lag_pm10median."
Struct,"In order to use the one-way ANOVA test, we have to make sure of several things first."
Res,"The data is heavily right-skewed and with a short right tail, appears as though relatively-medium-sized wildfires are uncommon, and large fires are even rarer."
Data,"In our least count category, we have Social Media and Lifestyle, and that category contains 250 articles to 350 articles."
MethDef,"To keep the modelling simple, we have used spline smoother terms for all the variables and set the degrees of freedom to be 4 for all."
MethJust,"We observe that the model we chose performs about 3% better than the worst model, indicating the difference between the models are not significant (5)."
Lim,Some limitations in this data is that we do not know more about the team sizes.
MethDef,We filtered observations in this dataset to exclude days with missing data for any variables (including lagged variables)
MethJust,"Since the playtime data is continuous, the data follows a normal distribution since the size of the sample of players is greater than or equal to 30, the players can be picked at random, and the population standard deviation is known, the z test is justifiable to use."
Int,"We find that pivotal bootstrapping tends to give wider confidence intervals primarily since the bootstrapping method we used is the ""resampling cases"" method which involves less assumptions (7)"
RQDef,Question 1: Is the mean of the number of shots taken less than 3.
RQDef,"The next research question we will investigate is whether the location of the channel origin affects the number of subscribers it has, if there is an association, we will characterize it."
MethJust,"(6) Based on our diagnostics plots, we have no problem with the normality assumption for our model, however we have a problem with our constant variance assumption."
RQDef,Preston Jorgensen would like to know from research if there is any factors that appear to be related to lifespan to attain immortality.
MethJust,"Due to the requirement of this report, we will NOT consider Model 1.2 to be a candidate for our final model, but we will use it to gain some insight into the causal relationship between $Metabolic.log$ and $Age.log$."
Context,Youtube is a platform that thrives on diverse content.
Data,Death is a numerical quantity reporting how many non-accidental deaths occured on that date.
RQDef,"I can figure out if there’s a relationship between subscribers and viewsPerVideo, relationship between subscribers and accountAge, and relationship between subscribers and videoUploads."
Other,"As we are constructing our regression models, we remember to choose the one that is the most accurate and interpretable in order to best explain patterns in the data."
Lim,"As for limitations in our analysis, I believe that there are potential confounders unaccounted for in the AnAge database that impact animal lifespans."
RQDef,It would make sense to hypothesize that the more subscribers a Youtuber has the more viewsPerVideo they get on average as they have more viewers that they know are interested in their content.
Res,"Here, we can see that the proportion of overweight non-smokers to total overweight individuals is greater than the proportion of fit non-smokers to total fit individuals."
MethJust,"Based on the cross-validation results in the previous section, we have determined that Model 2 is the best model for the data."
MethJust,"Additionally, the estimated standard error for the linear model is approximately 0.0008, which is much lower than the standard errors of all the spline models (as is seen in table 1)."
MethJust,"Other than this minor deviation, our model met all the assumptions necessary and appears to fit well (4)."
RQDef,Our formal hypotheses are.
MethDef,A nonparametric model such as the smoothing spline might be a good option.
Int,"Our findings also indicate that air pollutants have effects over time, and are not just instantaneous."
Res,"Using our model, we also predicted with 95% confidence that if average weekly pollutants are at their lowest for a summer day, we expect only about 100 to 108 people to die."
Context,"The social media platform, YouTube, has grown significantly since it’s creation in 2005."
MethDef,We conducted a deviance test that compares Model Lag_tmpd with Model B
MethJust,"Our EDA showed us this was the best variable to predict the longevity, and so we fit our models using solely that variable."
Int,"However, we did not prove causation, i.e. high or low concentrations of pollutants in a day ""cause"" a certain number of deaths"
MethJust,"The corresponding 'temperature' values for these dates were 91.5 degrees F, 86.0 degrees F, 83.0 degrees F, and 78.5 degrees F, which aren't even the highest temperature values in this dataset."
RQDef,The third question is to analyze whether there is an association between drug use and age.
MethJust,"This is because we want to make comparisons between different animals, and measuring the amount of energy consumed per unit of body mass makes for a better comparison."
Data,"In order to estimate its life span if its metabolic rate was 50% lower, we have to start by obtaining its base metabolic rate, which is 2.588 Watts."
Context,"During the heat wave, temperatures soared to 106 degrees Fahrenheit and many elderly poor residents who could not afford air conditioning died."
Data,"The quantitative variable RH (relative humidity in %) has a mean of 44.288, a range of 85, and a standard deviation of 16.317."
Int,"Because this p-value is smaller than the significance level of alpha=0.05, we have sufficient evidence to reject the null hypothesis, that there is no relationship between the variable drugs and age, and have evidence for the alternative hypothesis, that there is a relationship between drugs and age."
Lim,Including these variables in my regression models may have led to different model selections and would have better identified the true relationship between metabolic rate and lifespan (3).
Data,Another thing we observe is that the interquartile ranges for all positions is between 0 and 200 total passes.
Res,"The p-value of our test is 0, which means there is significant evidence to reject Model B in favor of the saturated model."
Data,"Furthermore, there seem to be a smaller concentration of users after age 50 in the graph."
Int,— suggesting that the monitoring equipment is sensitive enough to measure wildfires which burn an area of less than 0.1 ha.
Struct,These models (shown below) were used to answer the questions that Jorgensen asked of us.
Int,"Therefore, we conclude that Model 2 fits better than Model 3, and the associations between mortality and air pollution is jointly significant (2)"
Int,"Especially, the most associated pollutant with death appears to be Ozone."
Struct,"Before we start modeling the data, it is important to analyze the variables we are working with."
MethJust,"From Figure 1, we can see that the response variable, death, along with the key predictor variables, are all skewed to the right."
Data,Entertainment has by far the most channels.
MethDef,"Firstly, we start with mapping a scatterplot with ISI as the x-axis and area as the y-axis."
RQDef,(5) We are interested in the expected number of deaths if pollution is at its lowest.
Struct,"As in our first two research scenarios, we assess our hypotheses with a formal inference for contingency tables."
Data,The median number of non-accidental deaths was 114 in this dataset.
Struct,(5) Table 3 shows the smallest value observed for each lagged pollutant variable.
Res,The linear fit is horizontal as well.
Struct,(3) We now explore diagnostic plot for both linear and spline models.
Struct,All of the formal conditions that must be met in order to use the Chi-Square Test have been discussed and justified in the first research question.
Context,"In addition, the number of subscribers can differ from one continent to another."
Data,"The overlaid density curve shows a long right tail, and this is due to a number of potential outliers."
Int,"However, the latter is more plausible as models using lagged variables yield slightly better performance, and this explanation is more consistent with commonsense."
Data,The distribution of age is left-skewed with a unimodal distribution.
Lim,"For (1), the dataset we used for our research is over two decades old."
Data,The dataset contains 5114 daily observations of six variables.
MethDef,(1) We start by examining a simple linear model: $$Lifespan = beta_0 + beta_1(Metabolic Rate)$$.
Lim,"However, there may be some heteroskedasticity such that residuals for larger values of the log of metabolic rate are mostly negative."
Res,"Then, the logged value of lifespan comes out to be 21.34173 years after we get rid of log from the result (2)."
Res,"However, the shape of the plot seems not very linear with a correlation of -0.059."
Res,"From these numbers, we can see that there is a lot of variation between the continents in the number of subscribers."
Data,"We created a basic plot of Lifespan vs Metabolic Rate (Figure 3) (5) and noted that there appears to be a negative relationship that looks approximately linear on the right side, but seems to flatten out a bit more towards the left."
Res,"Beginning with the all-categories piechart (figure 1, below), we see that most of the channels in this study were entertainment-based and were followed by music."
Data,The response variable is the death rate each day in Chicago(2)
Lim,Another possible impact to our conclusions was the inital data cleaning that was done to remove rows with any missing column values (NAs)
Data,The first is our response variable: Lifespan.
Context,This question will help us understand which country’s videos do better on the platform.
Lim,"For (2), we noted in the EDA section that 'temperature' appears to be strongly correlated with $PM_{10}$ and $O_3$"
Int,We cannot conclude that there’s is a relationship between costs and age as the plot isn’t very linear.
Struct,"With that mind, we think we can do somewhat better."
Lim,"On the other hand, the log transformation of the temperature variable didnt result in much improvement of the shape of the histogram or normality of the distribution as the distribution still has a distinct left skew."
Data,"(2) To analyze these questions, I use a dataset that provides air quality measurements and non-accidental death number in Chicago each day from January 1987 to the end of December 2000"
Struct,We will mainly use $date$ in EDA and use $time$ in model-building.
MethDef,"As a result, we decided to accept it as the condition of 5 is only slightly violated and proceed with the chi-square test."
Res,To further support this analyis we can look back to the simple linear regression we performed earlier that showed a significant negative coefficient on metabolism predicting longevity.
MethJust,"Although these violations result from very few outliers, which means the results may not be fundamentally biased if we use re-sample residuals, we will use non-parametric bootstrap (re-sample cases) for cautious concerns (6)"
MethDef,MU is the average playtime of players in the 2010 world Cup in minutes.
Struct,Below is the scatterplot and the associated regression line for the relationship between the shots attempted and the play time of the soccer players.
RQDef,We hypothesize that there will be an association between sex and drug habits.
Int,"Aside from that, we can see that the relationship appears sufficiently linear as the regression model is linear and the correlation coefficient is reasonably appropriate, we can then include the intercept and slope of the above regression as well as the correlation coefficients summarized in the tables below."
RQJust,We can observe from this table that males have higher proportions within every single drinking category.
Data,We also see that $Max.lifespan$ seems to be positively associated with $Temperature$ (6).
Lim,There was not enough data to account for younger subscribers to provide an accurate reading of the relationship between age and costs and age and duration.
Int,"From here, we can reject the null hypothesis to find there is a relationship between drinking and body type and move on to examining the contingency table to find further connections between drinking and body type."
Struct,Now we will move on to some multivariate EDA to explore the relationship between predictors and response variable.
Res,"In table 2 below, we can see the confidence interval results: Comparing the two confidence intervals, we can see that the predict function estimates the number of deaths for the lowest pollutant values on a 70-degree day to be between 104 and 120 deaths."
RQDef,"In conclusion, our study shows how drug usage is related to many factors, such as age, income, and relationship status."
Lim,This is a minor violation of the homoskedasticity assumption.
Int,"Therefore, there is more of an audience for these categories than someone wanting to join the sports category, which has the fewest channels and therefore would probably have high entry barriers."
MethDef,"For a more formal analysis on which model fits the data better, we will conduct a 5-fold cross-validation to determine which of our two models fits best to the data in terms of prediction error."
Data,"The dataset included other variables such as the kingdom of the species and their typical body temperature, but we did not identify them as necessary explanatory or confounding variables for our analysis."
Data,Boxplots were also made (figure not shown) for both death and log-transformed death which supports our previous answers in which it displays a normal distribution with a few outliers for high values of death.
MethJust,"(4) It is worth noting that during preliminary analysis, assessing the inverse of lifespan versus logarithmic-transformed metabolic rate per unit body mass seems to reveal a possible nonlinear relationship between the two variables (shown in figure 9), and during this report this possibility will be tested using nonparametric modeling to check if a nonlinear fit is more appropriate."
MethDef,Our model controls for time.
MethDef,Ha: beta1<0.
Lim,"Further, we may want to analyze total views in order to figure out whether their viewsPerVideo average was thrown off by a video that was more or less popular than the others."
MethDef,"Using R, we find out that $beta_{0}$ has value of 0.1492 and $beta_{1}$ has value of -0.39993."
MethDef,"Next, we will fit a model that only encompasses the temperature part of our second model, which only utilizes lag variables, and compare the temperature only model to the second model."
Data,"Right now, the raccoon has a lifespan of 19 years."
MethJust,"However, we found that the distribution of data in each taxonomic class was highly variable, which would prevent us from obtaining meaningful results."
Struct,The resulting errors are summarized in Table 1.
Context,Dating apps have become a primary and easy mode of finding desirable qualities within the people around us and seeking out partners.
MethJust,"As a non parametric bootstrap, there are no assumptions except that the observations are independent of one another."
MethDef,"Respectively, Let msaG, msaD, msaM, and msaF represent the true mean shots attempted for each position."
MethJust,"We also bootstrapped 1000 samples using the ""resampling cases"" method since the assumptions about the generalized additive models are naturally weak since we are using nonlinear smoothing functions and bootstrapping using this method would lead to more confident predictions (6)"
Data,"Out of 14 these variables, 'X', 'HAGRID', 'Maximum.longevity.yrs', 'Body.mass.g', 'Metabolic.rate', and 'Temperature' are continuous variables, while 'Kingdom', 'Phylum', 'Class', 'Order', 'Family', 'Genus', 'Species', and 'Common.name' are categorical variables."
Struct,Next we decided to create a QQ Plot to better understand the normality of the data.
RQDef,"It seems reasonable to think that the older one gets, the more money they tend to make."
MethJust,"Looking at Figure 8, we can see that the tails of the QQnorm line deviate from the straight line, indicating that our model may have some issues with normality."
Context,We pay a monthly premium that pays for the health care benefits under the insurance.
Int,"Keep in mind we cannot say that reducing pollutants would ""cause"" mortality to decrease since we are working with observational data, but it seems that reducing pollutants does not seem to correlate with reduced death rate (2)"
MethDef,"After constructing our two generalized additive models, we evaluated the prediction error of each model using 5-fold cross-validation to determine which model fits the data better."
MethDef,Then we model a linear regression line to observe the possible linear relationship between the two quantitative variables.
MethJust,"For “never”, there are 961 people."
MethJust,"By including the 'lag_tmpd' or 'tmpd' variable in the model, which seems to be a good decision due to the strong correlation we found it to have with deaths."
Data,"The same can be said with ozone and PM10, but the relationship is less clear than the latter."
MethDef,"We chose to use the pivotal confidence interval because asymptomatically it will have about 95% coverage, which is what we want."
MethDef,"In addition to Figure 3, we will assess our hypothesis with a formal hypothesis test using a one-way ANOVA test."
MethJust,The mean squared error for model 1 and model 2 were each 201.17 and 189.31
RQJust,We can see that the greatest difference between female and male is 0.031 in the seeing someone status.
Data,"The data contains information for 347 animals, specifically from the Chordata phylum, or animals that have a spinal cord."
Data,"To formulate this hypothesis, we will need to focus on the mean total passes for each position."
Int,"We concluded that there exists a true, positive relationship between death rate and the 7-day averages of the pollutants and temperature to predict death rate, which indicates that the effect of pollution on death rate is likely extended over several days, meaning that as these averages increased, there is evidence that death rate increased as well."
Res,"In this case, that would reduce its 'Metabolic.by.mass' from 0.0022 to 0.0011."
Lim,"We can see from figure 4 that while the clustering is tighter and more distinct in the untransformed temperature data, there is still noticeable clustering of data points near the top of the graphs including the log transformed temperature data."
RQDef,"(iii) if a crab-eating raccoon's metabolic rate is reduced by 50%, with all the other characteristics stay the same, its mean lifespan my model would etimate."
Data,The sample used for this study contains all players that appeared within the 2010 FIFA World Cup.
Res,"(2) Using our selected model, we would estimate its mean lifespan with those characteristics to be 20.78 in years."
Int,Figure 1 shows a negative association between cost and age.
RQJust,We can see that the Midfielder and Defender positions tend to make more passes than the other two positions.
Res,"With the z test we get a test statistic of z=1.4867, and the the p value of this statistic is 0.9314, which is nearly 1."
MethJust,The conditions for inference are mostly satisfied as our data is randomly pulled by the computer with a sample size greater than 30.
Int,"From this, we can conclude that there is sufficient evidence of an association between drug usage and relationship status."
Int,"Based on these results, I would say that ozone appears to be most associated with death rate (4)"
RQDef,Our next research question investigates whether the average number of shots has an association with a player’s position.
MethDef,"(2) Then we create five more sophisticated, spline models with effective degrees of freedom values ranging from 3 to 7, inclusive."
MethJust,"Based on the residual plot, the residuals appear to have a random spread approximately centered about zero."
Res,"From the second plot in figure 5, we see that mortality first increases then decreases from 1987 to 2000"
Struct,We began our analysis by plotting a histogram of Metabolic Rate to get an idea of its distribution (Figure 1 left).
RQDef,"So, the hypothesized shape for the distribution would be non-symmetric and skewed."
MethJust,"From our EDA, we saw that the relationships between our predictors and response don't appear to be linear, thereby making GAMs more ideal for our analysis."
Lim,"To better explain the bending downwards trend in the data, a nonparametric model such as smoothing spline would be more desired than a simple linear regression model."
Data,The data for this project was gathered via a volunteered sample from San Francisco OKCupid Users.
MethJust,"Thus, we have no evidence to conclude that the relationship between $Metabolic.log$ and $Age.log$ is not linear."
MethJust,"In other words, there is enough evidence to support that 'Temperature' is a confounding variable at signifance level $alpha = 0.05$."
MethDef,"We will use spline smoother terms for all variables, and for simplicity and speed, we will use 4 degrees of freedom for all spline terms (1)"
MethJust,(5) The difference between the models does not appear significant.
Res,We also found that a 50% reduction in the metabolic rate for the crab-eating raccoon would yield an average lifespan between 18.6 and 23 years (3).
Data,The dataset provides information up until the end of 2018 for 1259 Youtube channels.
Struct,"Since we have confirmed our model works well and that these pollutants do have an association with the number of non accidental deaths, we can now analyze the impact timeframe."
Data,"The mean viewsPerVideo is 2,960,682 with a standard deviation of 8,332,162 viewsPerVideo."
MethDef,We will be creating five models with effective degrees of freedom being 3 to 7 (2).
Int,"However, the further we look at the data, we can affirm Music is the more successful category."
MethDef,This observation alone indicates that time should somehow be used as a predictor in our model.
RQJust,"For example, corporate careers have more opportunities for growth than a high school teaching career."
Data,"Looking at figure 2 below, we find that the death over time graph seems to have outliers with a high number of deaths near a range of dates."
Data,The data is collected from the National Center for State Courts and is later used by the Bureau of Statistics for analysis.
Context,Prolonging mortality is a goal much of humanity has.
Context,"Eventually, this report may help policy makers and rangers to better prevent and control forest fires, thus avoiding loss due to forest fires."
Lim,Including more animals from a wider range may offer more insight.
Lim,"However, there does not appear to be a very even or constant spread about the line of 0, indicating that perhaps the constant variance assumption for simple linear regressions does not hold."
Context,"After an intense game, Spain ultimately won and left the Netherlands with their third, second place title (https://en.wikipedia.org/wiki/2010_FIFA_World_Cup)."
Struct,"On the next page, Figure 5 shows the average relationship between each predictor and the outcome in our final model (4)"
MethJust,"However, these residauls do not affect the 'fittness' because they are consistent with 4 outliers mentioned in EDA during heat wave in 1995"
Int,"While it's plausible to believe the number of non-accidental deaths would fall in the range of 106 to 112 deaths on a 70-degree day, various external factors out of our control influence mortality as well, such as sociopolitical events or even personal health."
Data,"In the middle category, we have Business and Other."
MethJust,"Specifically, the large sample size makes it so that the t-distribution is indifferent from Normal."
Context,"While the answer to it remained a mystery after numerous research, a more practical question is often asked: How could we extend the life expectancy for humans."
Data,The most common answer is “never” with 961 users and the least common answer is “often” with 20 users.
MethDef,"Therefore, the linear model we are using for the study is the same as the one presented above for the hypothesis testing."
RQDef,We also hypothesize that the News and Politics category will hold the least amount of channels because a good amount of people read the news and don’t exactly watch it.
RQDef,"Essentially, we predict that drug use is associated with relationship status."
Context,"Overall, our analysis can improve the position of YouTube creators to have better engagement and more fame."
Lim,"Lastly, the current dataset only includes animal species with spinal cords."
